id_symptoms,symptoms,herbs,usage_method,relevance_score
583,Gusi berdarah,Jahe,"Rebus 1 sendok teh jahe bubuk dalam 1 gelas air selama 10 menit, saring dan gunakan air rebusan untuk berkumur. Lakukan 2-3 kali sehari. Jahe dapat membantu meredakan peradangan pada gusi dan menghentikan pendarahan ringan pada gusi.","0,7"
584,Mual,Jahe merah ,"Ambil 1-2 inci jahe merah segar, kupas dan iris tipis. Rebus dengan 1 gelas air selama 5-10 menit, saring, dan minum air rebusan ini 1-2 kali sehari, terutama sebelum bepergian. Jahe merah membantu meredakan rasa mual dan muntah berkat efek anti-mual yang dimilikinya.","0,8"
585,Sakit kepala,Jahe merah ,"Rebus 1 inci jahe merah segar dalam 1 gelas air selama 10 menit. Saring dan minum air rebusan ini 1 kali sehari. Jahe merah dapat meredakan sakit kepala akibat efek vasodilator, yang membantu memperbaiki aliran darah.","0,8"
586,Pilek,Jahe merah ,"Rebus 1 inci jahe merah segar dalam 1 gelas air, tambahkan sedikit madu dan perasan lemon. Minum ramuan ini 2-3 kali sehari. Jahe merah membantu meningkatkan sistem kekebalan tubuh, melawan infeksi virus, serta meredakan gejala flu dan pilek.","0,8"
587,Stres,Jahe merah ,"Rebus 1 sendok teh jahe merah bubuk dalam 1 gelas air selama 5 menit, saring dan minum ramuan ini 1 kali sehari. Jahe merah memiliki efek menenangkan yang membantu mengurangi tingkat kecemasan dan memberikan ketenangan pada pikiran.","0,7"
588,Batuk,Jahe merah ,"Rebus 1 inci jahe merah segar dalam 1 gelas air, tambahkan sedikit madu dan perasan lemon. Minum ramuan ini 2-3 kali sehari. Jahe merah memiliki efek ekspektoran yang membantu mengencerkan lendir dan meredakan batuk.","0,8"
589,Sembelit,Jahe merah ,"Ambil 1 sendok teh jahe merah bubuk, campurkan dengan madu dan segelas air hangat. Minum ramuan ini 1 kali sehari. Jahe merah memperlancar pencernaan dan mendorong pergerakan usus, membantu mengatasi sembelit.","0,7"
590,Bau mulut,Jeringau,"Kunyah irisan rimpang jeringau kecil-kecil selama beberapa menit, lalu buang ampasnya. Ulangi sekali sehari untuk mengurangi bau mulut.","0,7"
591,Susah tidur,Jeringau,Rebus 1 sendok teh akar jeringau kering dalam 1 gelas air. Saring dan minum ramuan ini 30 menit sebelum tidur. Jeringau memiliki sifat menenangkan yang dapat membantu mengatasi masalah tidur dan meningkatkan kualitas tidur.,"0,75"
592,Luka,Jeringau,"Tumbuk halus akar jeringau segar, dan oleskan langsung ke area yang terluka atau iritasi. Diamkan selama beberapa menit, lalu bilas. Jeringau memiliki sifat antiseptik yang dapat membantu mengurangi infeksi dan mempercepat penyembuhan luka.","0,7"
593,Pusing,Jeringau,"Ambil 1 inci akar jeringau segar, potong kecil-kecil, dan rebus dalam 1 gelas air selama 10 menit. Saring dan minum ramuan ini 1-2 kali sehari. Jeringau membantu meningkatkan aliran darah ke kepala, yang dapat meredakan pusing atau vertigo.","0,7"
594,Kelelahan,Jeringau,"Ambil 1 inci akar jeringau segar, iris tipis, dan rebus dalam 1 gelas air selama 10 menit. Saring dan minum ramuan ini pada pagi hari. Jeringau meningkatkan sirkulasi darah dan memberikan energi tambahan untuk tubuh yang lelah.","0,6"
595,Gusi berdarah,Jambu biji,"Cuci beberapa daun jambu biji segar, tumbuk halus, dan oleskan ke gusi yang berdarah atau radang. Anda juga bisa berkumur dengan air rebusan daun jambu biji. Daun jambu biji memiliki sifat antiseptik yang membantu meredakan peradangan dan menghentikan pendarahan pada gusi.","0,8"
596,Kulit gatal,Jambu biji,"Ambil beberapa daun jambu biji segar, tumbuk halus, dan aplikasikan langsung ke area kulit yang gatal. Daun jambu biji memiliki efek anti-inflamasi dan dapat meredakan gatal-gatal akibat alergi atau iritasi ringan.","0,75"
597,Bau badan,Jambu biji,"Rebus 5-6 daun jambu biji dalam 1 gelas air. Setelah dingin, gunakan air rebusan ini untuk membilas tubuh atau mandi. Jambu biji memiliki sifat antibakteri yang dapat membantu mengurangi bau badan dengan membunuh bakteri penyebab bau.","0,8"
598,Demam,Jambu biji,"Rebus 10 daun jambu biji segar dalam 1 gelas air hingga mendidih, saring, dan minum air rebusan ini 2-3 kali sehari. Jambu biji dapat membantu menurunkan demam ringan berkat sifatnya yang menyejukkan tubuh.","0,7"
599,Sakit kepala,Jambu biji,"Ambil beberapa daun jambu biji segar, rebus dalam 1 gelas air. Minum air rebusan ini 1 kali sehari. Jambu biji memiliki efek menenangkan yang dapat membantu meredakan sakit kepala ringan yang disebabkan oleh ketegangan atau kelelahan","0,6"
600,Luka bakar ringan,Jintan,"Tumbuk halus 1 sendok teh biji jintan dan campurkan dengan sedikit minyak kelapa atau air, lalu oleskan pada luka bakar ringan. Jintan memiliki sifat antiseptik dan anti-inflamasi yang dapat membantu mempercepat penyembuhan luka bakar.","0,6"
601,Pilek,Jintan,Rebus 1 sendok teh jintan dengan 1 gelas air selama 5-10 menit. Saring dan minum ramuan ini selagi hangat. Jintan dapat membantu mengatasi flu dan pilek dengan mengurangi peradangan pada saluran pernapasan dan memperlancar pernapasan.,"0,7"
602,Mata lelah,Jintan,"Campurkan 1 sendok teh biji jintan yang ditumbuk halus dengan air mawar, lalu teteskan pada mata yang lelah menggunakan kapas. Jintan memiliki sifat relaksan yang dapat meredakan kelelahan mata dan mengurangi iritasi.","0,6"
603,Gusi berdarah,Jintan,"Campurkan sedikit jintan yang ditumbuk halus dengan air, lalu gunakan untuk berkumur. Jintan memiliki sifat antibakteri yang membantu meredakan infeksi dan peradangan pada gusi yang berdarah.","0,7"
604,Tidak nafsu makan,Jintan, Seduh 1 sendok teh jintan dalam 1 gelas air panas dan minum 2 kali sehari. Jintan dapat merangsang nafsu makan dengan meningkatkan sekresi enzim pencernaan dan memperbaiki proses pencernaan.,"0,8"
605,Iritasi kulit,Kalendula,Ambil beberapa kelopak bunga kalendula kering dan rendam dalam minyak zaitun atau minyak kelapa selama beberapa jam hingga minyaknya terinfusi. Oleskan minyak ini pada kulit yang teriritasi. Kalendula memiliki sifat anti-inflamasi yang dapat menenangkan dan mengurangi peradangan pada kulit yang teriritasi.,"0,8"
606,Luka,Kalendula,"Buat salep dari kelopak bunga kalendula yang ditumbuk halus, kemudian campurkan dengan minyak kelapa atau minyak zaitun. Oleskan salep ini pada luka ringan atau lecet untuk mempercepat proses penyembuhan. Kalendula memiliki efek antibakteri yang membantu mencegah infeksi dan mempercepat regenerasi kulit.","0,85"
607,Kulit kering,Kalendula,Gunakan krim atau salep kalendula yang mengandung ekstrak bunga kalendula. Oleskan pada area kulit yang kering dan pecah-pecah. Kalendula dapat melembapkan kulit serta memperbaiki kerusakan pada lapisan kulit yang kering.,"0,8"
608,Jerawat,Kalendula,Gunakan gel atau salep kalendula yang dioleskan langsung pada area yang berjerawat. Kalendula memiliki sifat antiseptik dan anti-inflamasi yang dapat membantu mengurangi peradangan pada kulit yang berjerawat dan mempercepat penyembuhan.,"0,7"
609,Kulit gatal,Kalendula,"Campurkan bunga kalendula yang telah ditumbuk halus dengan sedikit air hingga menjadi pasta. Oleskan pada area kulit yang gatal, biarkan hingga kering, lalu bilas. Gunakan 2 kali sehari.","0,8"
610,Kulit kering,Kembang telang,"Tumbuk bunga kembang telang segar dan campurkan dengan sedikit minyak kelapa. Oleskan pada kulit yang kering. Kembang telang dapat memberikan kelembapan pada kulit, menjadikannya lembut dan halus.","0,8"
611,Pusing,Kembang telang,Seduh 1-2 bunga kembang telang dengan air panas dan minum perlahan. Kembang telang dapat membantu meredakan pusing dengan memperlancar peredaran darah dan menenangkan saraf.,"0,75"
612,Susah tidur,Kembang telang,"Seduh 1 bunga kembang telang dengan 1 gelas air panas, biarkan selama beberapa menit hingga warnanya berubah menjadi biru. Minum teh ini 30 menit sebelum tidur. Kandungan flavonoid pada kembang telang dapat membantu relaksasi dan meningkatkan kualitas tidur.","0,9"
613,Stres,Kembang telang,"Seduh 1-2 bunga kembang telang segar dalam 1 gelas air panas. Diamkan selama 5-10 menit, kemudian saring dan minum. Kembang telang memiliki sifat adaptogenik yang dapat membantu menenangkan saraf dan mengurangi stres.","0,8"
614,Sakit kepala,Kembang telang,"Seduh bunga kembang telang dengan air panas dan biarkan hingga warna air berubah biru. Minum teh ini untuk membantu meredakan sakit kepala, karena kembang telang dapat mengendurkan ketegangan pada saraf.","0,7"
615,Lemas,Kenikir,Rebus 50 gram daun kenikir segar dalam 2 gelas air hingga tersisa 1 gelas. Saring dan minum air rebusannya 2 kali sehari. Kenikir kaya akan vitamin dan mineral yang dapat meningkatkan energi tubuh.,"0,8"
616,Tidak nafsu makan,Kenikir,"Ambil 3-5 lembar daun kenikir segar, kukus, dan konsumsi sebagai lalapan bersama makanan utama. Daun kenikir memiliki rasa khas yang dapat merangsang nafsu makan.","0,7"
617,Gangguan pencernaan,Kenikir,"Rebus 30 gram daun kenikir dengan 3 gelas air hingga tersisa 1,5 gelas. Saring dan minum air rebusannya 2 kali sehari. Kenikir memiliki efek karminatif yang membantu meredakan kembung dan mula","0,8"
618,Pusing,Kenikir,Haluskan 10 lembar daun kenikir segar dengan sedikit air hingga menjadi pasta. Tempelkan pasta ini pada dahi dan biarkan selama 15-20 menit. Kenikir memiliki sifat relaksasi yang dapat membantu meredakan pusing.,"0,7"
619,Nyeri sendi,Kenikir,"Haluskan daun kenikir segar hingga menjadi pasta, tambahkan sedikit minyak kelapa, dan oleskan pada sendi yang terasa nyeri. Biarkan selama 30 menit, kemudian bilas dengan air hangat. Sifat antiinflamasi kenikir membantu mengurangi nyeri.","0,7"
620,Mual,Ketumbar,"Hancurkan 1 sendok teh biji ketumbar, seduh dengan air panas, tambahkan sedikit madu, dan minum perlahan. Rasa dan aroma khas ketumbar membantu meredakan mual.","0,7"
621,Nyeri haid,Ketumbar,"Rebus 2 sendok teh biji ketumbar dengan 1,5 gelas air, tambahkan sedikit jahe, dan minum saat hangat. Sifat antiinflamasi ketumbar membantu meredakan nyeri haid.","0,6"
622,Susah tidur,Ketumbar,Seduh 1 sendok teh biji ketumbar dengan air panas dan tambahkan madu. Minum sebelum tidur untuk membantu relaksasi tubuh.,"0,7"
623,Mata lelah,Ketumbar,"Rebus 1 sendok teh biji ketumbar dengan segelas air, dinginkan, dan gunakan air rebusan ini sebagai kompres mata. Ketumbar memiliki sifat menenangkan untuk mata yang lelah.","0,6"
624,Kelelahan,Ketumbar,Rebus 2 sendok teh biji ketumbar dengan 2 gelas air hingga tersisa 1 gelas. Minum rebusan ini di pagi hari untuk meningkatkan energi dan mengurangi kelelahan.,"0,7"
625,Perut kembung,Kemangi,Rebus 10 lembar daun kemangi dengan segelas air hingga mendidih. Minum air rebusan ini hangat-hangat untuk mengurangi gas di perut dan melancarkan pencernaan.,"0,8"
626,Mual,Kemangi,"Hancurkan 5 lembar daun kemangi segar, tambahkan sedikit jahe yang sudah diparut, dan seduh dengan air panas. Minum selagi hangat untuk meredakan mual.
","0,85"
627,Nyeri haid,Kemangi,Rebus 10 lembar daun kemangi dengan 2 gelas air hingga tersisa 1 gelas. Tambahkan sedikit gula aren dan minum air rebusan ini hangat-hangat untuk meredakan nyeri haid.,"0,7"
628,Kulit gatal,Kemangi,Tumbuk daun kemangi segar hingga halus dan oleskan langsung pada area kulit yang gatal. Biarkan selama 20 menit sebelum dibilas dengan air hangat.,"0,6"
629,Mata lelah,Kemangi,"Rebus beberapa lembar daun kemangi, dinginkan air rebusannya, lalu gunakan untuk mencuci mata. Ini membantu menenangkan mata yang lelah akibat aktivitas panjang.","0,6"
630,Luka,Lamtoro,Tumbuk daun lamtoro segar hingga halus dan tempelkan pada luka. Ganti balutan setiap 4-6 jam untuk mempercepat proses penyembuhan.,"0,85"
631,Bau badan,Lamtoro,Konsumsi biji lamtoro sangrai sebagai camilan setiap hari. Kandungan senyawa dalam biji lamtoro dapat membantu mengurangi bau badan dari dalam tubuh.,"0,6"
632,Nyeri otot,Lamtoro,"Tumbuk daun lamtoro segar hingga halus, campurkan dengan sedikit minyak kelapa, dan oleskan pada area otot yang nyeri. Lakukan dua kali sehari hingga nyeri mereda.","0,6"
633,Perut kembung,Lamtoro,"Tumbuk 5 gram biji lamtoro sangrai hingga halus, lalu seduh dengan air hangat dan tambahkan sedikit jahe parut. Minum saat gejala muncul untuk mengurangi gas di perut.","0,8"
634,Gangguan pencernaan,Lamtoro,"Ambil 10 gram biji lamtoro, sangrai hingga matang, lalu tumbuk halus. Seduh bubuk ini dengan air hangat dan minum sekali sehari untuk membantu melancarkan pencernaan.","0,7"
635,Kulit gatal,Lemon,Oleskan perasan lemon pada area kulit yang gatal menggunakan kapas untuk meredakan iritasi. Ulangi jika diperlukan.,"0,5"
636,Jerawat,Lemon,"Oleskan air perasan lemon langsung ke jerawat menggunakan kapas. Biarkan selama 15 menit, lalu bilas dengan air bersih. Lakukan 2-3 kali seminggu.","0,7"
637,Kulit berminyak,Lemon,"Peras lemon, campurkan dengan sedikit air, dan oleskan pada wajah menggunakan kapas. Diamkan selama 10 menit sebelum dibilas untuk mengurangi minyak berlebih pada kulit.","0,7"
638,Perut kembung,Lemon,Campurkan perasan lemon dengan air hangat dan tambahkan sejumput garam. Minum setelah makan untuk membantu mengurangi gas di perut.,"0,8"
639,Mual,Lemon,Hirup aroma segar lemon yang telah dipotong-potong atau minum air lemon hangat yang dicampur madu untuk meredakan rasa mual.,"0,85"
640,Perut kembung,Lempuyang,"Iris tipis 2-3 rimpang lempuyang, rebus dalam 500 ml air hingga tersisa setengahnya. Saring dan minum air rebusannya dua kali sehari untuk mengurangi gas berlebih di perut.","0,85"
641,Tidak nafsu makan,Lempuyang,"Parut rimpang lempuyang, peras untuk mendapatkan sari patinya, lalu campurkan dengan madu dan minum sebelum makan. Lakukan setiap hari untuk meningkatkan nafsu makan.","0,8"
642,Kulit gatal,Lempuyang,Haluskan rimpang lempuyang dan oleskan pada area kulit yang terasa gatal. Diamkan 10-15 menit sebelum dibilas dengan air hangat.,"0,7"
643,Nyeri haid,Lempuyang,Rebus irisan lempuyang dengan kunyit dan daun pandan dalam air hingga mendidih. Minum ramuan hangat ini untuk meredakan nyeri haid.,"0,8"
644,Gangguan pencernaan,Lempuyang,"Campurkan lempuyang yang sudah diparut dengan air hangat, saring, dan tambahkan sedikit madu. Minum untuk meredakan gangguan pencernaan.","0,8"
645,Sembelit,Labu siam,Konsumsi labu siam rebus secara langsung atau tambahkan ke dalam sup. Kandungan seratnya melunakkan tinja dan memperlancar buang air besar.,"0,9"
646,Dehidrasi,Labu siam,"Blender daging labu siam dengan air kelapa muda, tambahkan sedikit madu, dan minum sebagai jus untuk menghidrasi tubuh secara alami.","0,8"
647,Panas dalam,Labu siam,"Blender labu siam mentah dengan air dingin, tambahkan madu, dan minum secara perlahan untuk meredakan gejala panas dalam.","0,7"
648,Mata lelah,Labu siam,"Buat jus labu siam mentah, tambahkan madu, dan minum. Vitamin A dalam labu siam membantu mengurangi kelelahan mata akibat penggunaan gadget berlebih.","0,7"
649,Susah tidur,Labu siam,Konsumsi sup labu siam yang diberi tambahan bawang putih dan daun salam sebelum tidur untuk membantu tubuh rileks.,"0,7"
650,Kulit gatal,Mangga,"Rebus beberapa helai daun mangga dalam air, biarkan dingin, dan gunakan air rebusan tersebut untuk mandi. Ini membantu meredakan rasa gatal pada kulit.","0,7"
651,Luka,Mangga,"Tumbuk daun mangga hingga halus, oleskan pada area luka, dan balut dengan kain bersih. Kandungan antibakterinya membantu mempercepat penyembuhan luka.","0,85"
652,Dehidrasi,Mangga,Konsumsi jus mangga matang yang dicampur dengan air kelapa. Minuman ini kaya elektrolit yang dapat membantu mengatasi dehidrasi.,"0,8"
653,Panas dalam,Mangga,"Buat jus dari buah mangga mentah, tambahkan sedikit garam dan gula. Minum jus ini setiap sore untuk membantu menurunkan suhu tubuh dari dalam.","0,7"
654,Batuk,Mangga,"Rebus potongan kecil kulit kayu mangga dalam air hingga mendidih. Saring air rebusan tersebut, tambahkan madu, dan minum selagi hangat dua kali sehari.","0,5"
655,Mual,Mint,Rebus segenggam daun mint segar dalam 200 ml air selama 5-10 menit. Minum air rebusan selagi hangat untuk membantu meredakan mual.,"0,85"
656,Perut kembung,Mint,Buat teh mint dengan merebus daun mint segar dalam segelas air selama 10 menit. Minum secara perlahan untuk meredakan kembung.,"0,8"
657,Bau mulut,Mint,"Kunyah 2-3 helai daun mint segar setelah makan. Alternatif lain, buat rebusan daun mint dan gunakan airnya untuk berkumur.","0,7"
658,Kulit gatal,Mint,"Tumbuk daun mint segar, lalu oleskan pada area kulit yang gatal. Biarkan selama 10-15 menit sebelum dibilas dengan air bersih.","0,6"
659,Jerawat,Mint,"Haluskan daun mint segar dan aplikasikan sebagai masker wajah. Biarkan selama 20 menit, lalu bilas dengan air dingin.","0,7"
660,Jerawat,Manjakani,"Buatlah pasta dari serbuk manjakani yang dicampur dengan air, lalu aplikasikan pada area yang berjerawat. Biarkan selama beberapa menit sebelum dibilas. Manjakani memiliki sifat antibakteri dan anti-inflamasi yang membantu mengatasi jerawat dan mengurangi peradangan pada kulit wajah.","0,8"
661,Nyeri haid,Manjakani,Rebus beberapa potong manjakani dalam air dan minum air rebusan ini untuk meredakan nyeri haid. Sifat anti-inflamasi dan astringen pada manjakani membantu mengurangi rasa sakit dan memperbaiki kondisi rahim selama menstruasi.,"0,7"
662,Perut kembung,Manjakani,"Ambil segenggam manjakani kering, rebus dalam 2 gelas air hingga tersisa satu gelas. Minum air rebusan ini setelah makan untuk membantu meredakan kembung. Sifat astringen pada manjakani dapat mengurangi peradangan dan memperbaiki pencernaan.","0,7"
663,Bau badan,Manjakani,"Ambil 1 batang manjakani, rebus dengan 3 gelas air selama 15 menit, dan saring. Minum air rebusan ini 2 kali sehari untuk membantu mengurangi bau badan.","0,5"
664,Iritasi kulit,Manjakani,"Ambil beberapa buah manjakani, tumbuk halus, dan campurkan dengan sedikit air. Oleskan pada kulit yang iritasi, biarkan selama 15 menit, kemudian bilas dengan air bersih. Lakukan 2 kali sehari.","0,8"
665,Sakit perut,Manjakani,"Ambil 1 batang manjakani, rebus dengan 2 gelas air selama 15 menit, kemudian saring dan minum. Minum air rebusan ini 2 kali sehari untuk meredakan sakit perut atau kram.","0,8"
666,Sariawan,Manjakani,"Rebus buah manjakani dengan air, kemudian gunakan air rebusannya untuk berkumur. Lakukan ini 2-3 kali sehari sampai sariawan sembuh.","0,7"
667,Luka bakar ringan,Manjakani,"Ambil batang manjakan, tumbuk hingga cairannya keluar, lalu oleskan cairan tersebut pada luka bakar ringan. Biarkan mengering tanpa perlu dibilas.","0,7"
668,Sakit kepala,Lempuyang Wangi,"Ambil 2-3 ruas lempuyang wangi, cuci bersih, lalu parut hingga halus. Tambahkan sedikit air matang dan peras untuk mendapatkan ekstraknya. Oleskan pada dahi dan pelipis, pijat perlahan selama 5-10 menit. Minyak alami dalam lempuyang wangi membantu meredakan ketegangan otot dan meningkatkan peredaran darah di area kepala.","0,75"
669,Pusing,Lempuyang Wangi,"Rebus 2 ruas lempuyang wangi dengan 2 gelas air hingga mendidih dan tersisa sekitar 1 gelas. Saring air rebusan, tambahkan sedikit madu, dan minum selagi hangat. Kombinasi ini dapat membantu meredakan pusing akibat penurunan tekanan darah atau kelelahan.","0,8"
670,Tenggorokan gatal,Lempuyang Wangi,"Parut 1 ruas lempuyang wangi, peras, dan ambil airnya. Campurkan dengan air hangat, kemudian berkumur dengan ramuan ini. Gunakan 2-3 kali sehari untuk membantu mengurangi rasa gatal dan iritasi pada tenggorokan, karena sifat antibakteri dan antiinflamasi lempuyang wangi.","0,85"
671,Perut kembung,Lempuyang Wangi,"Rebus 1 ruas lempuyang wangi bersama 1 gelas air hingga mendidih. Setelah airnya tersisa sekitar setengah gelas, saring dan minum selagi hangat. Minuman ini dapat membantu melancarkan pencernaan dan mengatasi perut kembung dengan merangsang produksi enzim pencernaan.","0,75"
672,Kulit kasar,Lempuyang Wangi,"Parut 1 ruas lempuyang wangi dan campurkan dengan sedikit minyak kelapa. Oleskan pada area kulit yang terasa kasar atau kering, diamkan selama 15-20 menit, lalu bilas dengan air hangat. Kandungan minyak dalam lempuyang wangi membantu melembutkan dan memberi kelembapan pada kulit yang kering atau kasar.","0,7"
673,Sakit kepala,Mangkokan,"Ambil 1-2 helai daun mangkokan yang segar, cuci bersih, dan rebus dengan 1 gelas air hingga mendidih. Setelah itu, saring air rebusannya dan minum selagi hangat. Konsumsi ramuan ini 2 kali sehari untuk membantu meredakan sakit kepala, karena daun mangkokan memiliki sifat analgesik yang dapat mengurangi rasa nyeri.","0,8"
674,Perut kembung,Mangkokan,"Cuci bersih 2 helai daun mangkokan segar, kemudian rebus dengan 2 gelas air. Biarkan mendidih hingga tersisa 1 gelas, lalu saring dan minum selagi hangat. Minum ramuan ini 1-2 kali sehari untuk membantu melancarkan pencernaan dan meredakan perut kembung, karena daun mangkokan mengandung senyawa yang dapat memperlancar keluarnya gas dalam saluran pencernaan.","0,7"
675,Tenggorokan kering,Mangkokan,"Rebus 3-4 helai daun mangkokan segar dalam 1,5 gelas air hingga tersisa 1 gelas. Setelah mendidih, saring airnya dan minum hangat. Konsumsi ramuan ini 2 kali sehari untuk membantu melembapkan tenggorokan yang kering dan memberikan rasa nyaman, karena mangkokan memiliki sifat pelembap alami.","0,75"
676,Kulit kasar,Mangkokan,"Haluskan beberapa helai daun mangkokan segar, kemudian campurkan dengan sedikit madu hingga membentuk pasta. Oleskan pada bagian kulit yang kasar, seperti siku atau lutut, dan diamkan selama 15-20 menit. Bilas dengan air hangat. Lakukan perawatan ini 2-3 kali seminggu untuk membantu melembutkan kulit kasar, karena mangkokan memiliki sifat pelembap dan pemulih kulit.","0,65"
677,Mata lelah,Mangkokan,"Cuci bersih beberapa helai daun mangkokan segar, kemudian rendam dalam air dingin selama beberapa menit. Tempelkan daun yang sudah direndam di sekitar mata dan diamkan selama 10-15 menit. Perawatan ini dapat dilakukan setiap hari untuk membantu meredakan mata lelah, karena daun mangkokan memiliki sifat mendinginkan dan menenangkan.","0,8"
678,Gangguan pencernaan,Meniran,"Ambil 1-2 sendok makan daun meniran segar yang telah dicuci bersih, kemudian rebus dalam 2 gelas air selama 15-20 menit hingga airnya tersisa setengah gelas. Saring air rebusan dan minum selagi hangat untuk membantu melancarkan pencernaan dan meredakan rasa kembung pada perut. Rebusan ini dapat dikonsumsi 2-3 kali sehari.","0,6"
679,Sakit kepala,Meniran,"Rebus 1-2 sendok makan daun meniran segar dengan 1,5 gelas air hingga mendidih dan airnya tersisa setengah gelas. Setelah mendidih, saring dan minum selagi hangat. Air rebusan ini membantu meredakan sakit kepala dengan menenangkan sistem saraf dan mengurangi ketegangan pada otot kepala.","0,7"
680,Kulit kering,Meniran,"Tumbuk halus 1 sendok makan daun meniran segar dan campurkan dengan sedikit air, lalu aplikasikan pada kulit yang kering. Diamkan selama 15-20 menit sebelum dibilas dengan air hangat. Masker ini membantu menghidrasi kulit dan memberikan kelembapan alami untuk kulit yang kering.","0,8"
681,Tenggorokan kering,Meniran,Seduh 1-2 sendok teh daun meniran kering dalam 1 gelas air panas selama 10-15 menit. Saring dan minum selagi hangat. Teh ini membantu menenangkan tenggorokan yang kering dan memberikan rasa lega pada saluran pernapasan.,"0,85"
682,Kulit berminyak,Meniran,"Tumbuk halus daun meniran segar, kemudian campurkan dengan sedikit air lemon. Aplikasikan campuran ini pada wajah yang berminyak dan biarkan selama 15 menit. Cuci muka dengan air hangat setelah itu. Masker ini membantu mengontrol produksi minyak berlebih pada wajah dan memberikan efek segar.","0,75"
683,Jerawat,Mimba,"Rebus daun mimba dalam air hingga mendidih, lalu gunakan air rebusan sebagai toner alami. Oleskan dengan kapas ke area berjerawat dua kali sehari setelah membersihkan wajah.","0,85"
684,Kulit gatal,Mimba,"Ambil segenggam daun mimba segar, tumbuk halus hingga keluar lendir. Oleskan pada area kulit yang gatal dan biarkan selama 15-20 menit. Bilas dengan air dingin. Kandungan antibakteri dalam daun mimba membantu meredakan gatal dan iritasi pada kulit.","0,75"
685,Perut kembung,Mimba,"Rebus 2-3 helai daun mimba dengan 2 gelas air hingga tersisa 1 gelas. Setelah mendidih, saring airnya dan minum selagi hangat. Air rebusan ini dapat diminum 1-2 kali sehari untuk membantu melancarkan pencernaan dan mengurangi rasa kembung di perut.","0,8"
686,Sakit kepala,Mimba,"Ambil beberapa daun mimba segar, cuci bersih, lalu tumbuk halus. Tempelkan pada dahi dan pelipis, diamkan selama 10-15 menit. Sifat pendinginan dari mimba membantu mengurangi tekanan dan rasa sakit pada kepala.","0,7"
687,Bau badan,Mimba,"Rebus beberapa helai daun mimba dengan 2 gelas air hingga tersisa 1 gelas. Saring airnya, dan minum setengah gelas dua kali sehari. Air rebusan mimba membantu mengurangi bau badan dengan cara mengeluarkan racun melalui keringat secara alami.","0,65"
688,Sakit kepala,Mindi Kecil,"Ambil 5-6 daun mindi kecil, cuci bersih, lalu rebus dalam 2 gelas air hingga tersisa sekitar 1 gelas. Saring air rebusan dan minum selagi hangat. Rebusan ini dapat membantu meredakan sakit kepala, karena mindi kecil memiliki sifat yang dapat menenangkan saraf dan melancarkan peredaran darah.","0,8"
689,Kulit gatal,Mindi Kecil,"Cuci 3-4 daun mindi kecil, kemudian tumbuk hingga halus. Tempelkan hasil tumbukan pada area kulit yang gatal dan biarkan selama 15-20 menit. Setelah itu, bilas dengan air bersih. Penggunaan ini dapat membantu meredakan gatal pada kulit karena sifat anti-inflamasi dari mindi kecil.","0,7"
690,Perut kembung,Mindi Kecil,"Rebus 1-2 helai daun mindi kecil dalam 1 gelas air hingga mendidih. Setelah itu, saring air rebusan dan minum selagi hangat. Konsumsi air rebusan ini 2 kali sehari untuk membantu melancarkan pencernaan dan meredakan perut kembung.","0,75"
691,Pusing,Mindi Kecil,"Ambil 4-5 helai daun mindi kecil, cuci bersih, dan rebus dengan 2 gelas air hingga airnya tersisa sekitar 1 gelas. Saring air rebusan dan minum secara perlahan. Penggunaan ini dapat membantu mengurangi rasa pusing karena sifat mindi kecil yang menenangkan dan melancarkan peredaran darah.","0,75"
692,Nyeri otot,Mindi Kecil,"Ambil beberapa daun mindi kecil, cuci hingga bersih, kemudian tumbuk halus dan balurkan pada bagian tubuh yang terasa nyeri. Diamkan selama 15-20 menit, lalu bilas dengan air hangat. Daun mindi kecil memiliki sifat anti-inflamasi yang dapat membantu mengurangi nyeri otot.","0,8"
693,Sakit kepala,Mondokaki,"Ambil 1 sendok makan daun mondokaki segar, cuci bersih, dan rebus dalam 2 gelas air hingga mendidih dan tersisa sekitar 1 gelas. Saring air rebusan dan minum selagi hangat. Kandungan anti-inflamasi dalam mondokaki dapat membantu meredakan sakit kepala akibat stres atau kelelahan.","0,85"
694,Pusing,Mondokaki,"Rebus 1-2 daun mondokaki segar dalam 1,5 gelas air selama 10 menit. Setelah mendidih, saring dan minum air rebusan selagi hangat. Daun mondokaki dapat membantu melancarkan peredaran darah, yang seringkali menjadi penyebab pusing.","0,8"
695,Nyeri sendi,Mondokaki,Daun Mendokaki segar direbus dengan 2 gelas air hingga tersisa setengahnya. Gunakan air rebusan hangat ini untuk mengompres area sendi yang nyeri. Lakukan kompres selama 20 menit setiap hari sampai gejala berkurang.,"0,7"
696,Perut kembung,Mondokaki,"Cuci bersih 1-2 daun mondokaki segar, kemudian rebus dalam 1 gelas air hingga tersisa setengah gelas. Saring airnya dan minum selagi hangat. Mondokaki membantu melancarkan pencernaan dan mengurangi rasa tidak nyaman pada perut yang kembung.","0,75"
697,Tenggorokan gatal,Mondokaki,"Rebus 3-4 daun mondokaki segar dalam 1,5 gelas air hingga tersisa sekitar satu gelas. Saring dan minum selagi hangat. Daun mondokaki memiliki sifat antiseptik yang membantu meredakan iritasi pada tenggorokan yang gatal.","0,75"
